"","V1"
"q8_mean",7
"q9_mean",6
"q10_mean",3
"q11_mean",8
"q12_mean",3
"q21_mean",0
"q33_mean",466.667
"q46_mean",9.667
"q53_mean",95
"q54_mean",44.333
