"""How do you prefer to use cannabis? (Please select all that apply)""",
,
id,chosen
11208627585,Capsules
11166535497,Capsules
11166390085,Capsules
11156548224,Capsules
11137652132,Capsules
11105188699,Capsules
11100035804,Capsules
11061509902,Capsules
11036310394,Capsules
10883497633,Capsules
10876876072,Capsules
10876510380,Capsules
10875530570,Capsules
10875511603,Capsules
10875503972,Capsules
10830786742,Capsules
10823088016,Capsules
10675806972,Capsules
10665891738,Capsules
10658774056,Capsules
10624147163,Capsules
10604065323,Capsules
10595615049,Capsules
10581933788,Capsules
10581447651,Capsules
10576876213,Capsules
11186271761,Capsules
10868495105,Capsules
10659241585,Capsules
11250741921,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
11215609540,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
11208627585,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
11166535497,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
11166390085,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
11156548224,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
11138930846,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
11138400653,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
11138361963,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
11131514317,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
11105188699,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
11061509902,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
11036310394,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
11033502369,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
11006369538,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10889700541,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10888170961,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10878751296,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10876876072,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10876510380,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10875700450,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10875526461,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10875458883,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10872582813,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10867810520,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10836382971,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10833972658,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10823088016,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10822727213,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10802360410,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10675806972,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10675303210,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10669140575,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10667582585,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10667398958,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10667369837,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10661330404,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10658774056,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10658649988,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10658580372,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10658550964,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10626251939,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10602936383,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10597419828,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10595615049,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10580913646,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
11213907729,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
11186271761,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
11151215837,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
11042816472,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10991821033,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10719755952,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10659241585,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10684698263,"Concentrates (e.g. rosin, shatter, wax, hash, kief)"
11250741921,"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)"
11241251752,"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)"
11215609540,"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)"
11208627585,"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)"
11170108737,"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)"
