"","V1"
"q8_mean",6
"q9_mean",6.03
"q10_mean",3.906
"q11_mean",8.88
"q12_mean",3.172
"q21_mean",5.02
"q33_mean",96.836
"q46_mean",20.836
"q53_mean",99.582
"q54_mean",71.514
