"response","count","percent_responded"
"United States",67,39.41
"USA",50,29.41
"Usa",17,10
"US",9,5.29
"USA ",6,3.53
"usa",5,2.94
"Canada",4,2.35
"United states",2,1.18
"United States ",2,1.18
"Us",2,1.18
"Suffolk",1,0.59
"Suffolk ",1,0.59
"The U.S.",1,0.59
"Unites States",1,0.59
"us",1,0.59
"Worcester",1,0.59
