"response","count","percent_responded"
"THC Content",199,23.92
"Cost/Price",171,20.55
"Quality",137,16.47
"CBD Content",121,14.54
"Format (flower, vape, edibles, etc)",73,8.77
"Favorite Strain",60,7.21
"Other cannabinoids and terpenes",46,5.53
"THCa",18,2.16
"CBDa",7,0.84
