"""How long have you been using cannabis for recreational purposes?""",,
,,
response,count,percent_all
I do not use cannabis for recreational purposes,252,0.446017699
Less than 1 month,13,0.02300885
1-2 months,9,0.015929204
3-6 months,8,0.014159292
7 months - 1 year,30,0.053097345
13 months - 2 years,40,0.07079646
61 months - 10 years,17,0.030088496
10+ years,157,0.277876106
25 months - 5 years,39,0.069026549
