"","V1"
"q8_mean",5.66
"q9_mean",5.88
"q10_mean",3.486
"q11_mean",8.77
"q12_mean",2.925
"q21_mean",3.85
"q33_mean",101.403
"q46_mean",17.319
"q53_mean",97.931
"q54_mean",67.537
