"response","count","percent_responded"
"1/4 gram or less",4,23.53
"2-3 grams",4,23.53
"1/4 ounce (~7 grams)",3,17.65
"1  gram",2,11.76
"1/2 gram",1,5.88
"8 grams to 1/2 ounce (~14 grams)",1,5.88
"I don't know how much I use per week",1,5.88
"More than 1 ounce",1,5.88
