"","V1"
"q8_mean",6.19
"q9_mean",5.87
"q10_mean",3.794
"q11_mean",8.76
"q12_mean",3.412
"q21_mean",6.55
"q33_mean",85.341
"q46_mean",21.773
"q53_mean",76.968
"q54_mean",65.697
