"q74","What was the highest pay grade/rank achieved at the time of formal discharge?","n =  185"
"response","count","percent_responded"
"E4","28","15.14"
"E5","26","14.05"
"E-4","15","8.11"
"E-5","13","7.03"
"E6","12","6.49"
"E3","7","3.78"
"e4","5","2.7"
"E-3","4","2.16"
"e-4","3","1.62"
"E-6","3","1.62"
"E7","3","1.62"
"E-6/SSG","2","1.08"
"E2","2","1.08"
"E7/SFC ","2","1.08"
"Lance Corporal","2","1.08"
"04/lcdr","1","0.54"
"2","1","0.54"
"5","1","0.54"
"5 Star General","1","0.54"
"Colonel","1","0.54"
"Corporal","1","0.54"
"cpl","1","0.54"
"CW02","1","0.54"
"CW3 W3","1","0.54"
"E-2","1","0.54"
"e-3","1","0.54"
"E-4/SPC","1","0.54"
"E-5 ","1","0.54"
"E-5 sergeant ","1","0.54"
"E-5/SGT","1","0.54"
"E-7","1","0.54"
"E-7 SFC","1","0.54"
"E-8","1","0.54"
"E-8/First Sergeant","1","0.54"
"E1","1","0.54"
"e3","1","0.54"
"E4 specialist/corporal","1","0.54"
"E4/Specialist","1","0.54"
"e5","1","0.54"
"e6","1","0.54"
"E6/Staff Sargent","1","0.54"
"E8","1","0.54"
"First Sergeant/E8","1","0.54"
"Major","1","0.54"
"Major O-4","1","0.54"
"N/A","1","0.54"
"na","1","0.54"
"O-5/Lt Col","1","0.54"
"O3","1","0.54"
"O3-E","1","0.54"
"O4","1","0.54"
"O6","1","0.54"
"O6.  Col","1","0.54"
"Petty officer 1st class","1","0.54"
"PFC","1","0.54"
"S7","1","0.54"
"sargeant","1","0.54"
"Sargent","1","0.54"
"Sergeant","1","0.54"
"Sergeant ","1","0.54"
"SGT","1","0.54"
"SGT E-5","1","0.54"
"sgt E5","1","0.54"
"Sgt.","1","0.54"
"Sgt. E-5","1","0.54"
"SGT/E5","1","0.54"
"Spec-5","1","0.54"
"Spec5","1","0.54"
"Ssg/E6","1","0.54"
"SSG/E6","1","0.54"
"SSgt ","1","0.54"
"TSgt","1","0.54"
"Unkown","1","0.54"
