"response","count","percent_responded"
".5 grams or less",66,32.51
"2-3 grams",49,24.14
"1 gram",45,22.17
"4-6 grams",25,12.32
"1/4 ounce (~7 grams)",11,5.42
"8 grams -1/2 ounce (~ 14 grams)",5,2.46
"15 grams - 1 ounce (~28 grams)",1,0.49
"More than 1 ounce",1,0.49
