"","V1"
"q8_mean",6.26
"q9_mean",6.12
"q10_mean",3.767
"q11_mean",8.89
"q12_mean",3.209
"q21_mean",4.17
"q33_mean",95.79
"q46_mean",18.511
"q53_mean",94.928
"q54_mean",66.087
