"id","Most important selection criteria - Criteria","Second most important selection criteria - Criteria","Third most important selection criteria - Criteria"
10201740973,"THC Content","Other cannabinoids and terpenes","Quality"
10194559499,"Quality","Format (flower, vape, edibles, etc)","THC Content"
10192995461,"THC Content","Quality","Cost/Price"
10192572679,"Quality","CBD Content","THC Content"
10189186912,"Cost/Price","Format (flower, vape, edibles, etc)","THC Content"
10188835145,"Quality","Format (flower, vape, edibles, etc)","THC Content"
10188650039,"Favorite Strain","THC Content","Other cannabinoids and terpenes"
10188478016,"Favorite Strain","THC Content","CBD Content"
10188408371,"Quality","",""
10186789647,"THCa","CBD Content","Quality"
10185410224,"Cost/Price","CBD Content","Quality"
10184855403,"Other cannabinoids and terpenes","Quality","Format (flower, vape, edibles, etc)"
10183761350,"Favorite Strain","Format (flower, vape, edibles, etc)","Quality"
10179433467,"Quality","THC Content","CBD Content"
10178573973,"Cost/Price","CBD Content","THC Content"
10176933598,"Cost/Price","Quality","Favorite Strain"
10176582087,"THC Content","Cost/Price","Favorite Strain"
10176321017,"Cost/Price","THC Content","Quality"
10176219723,"THC Content","Cost/Price","Quality"
10175028993,"THC Content","Other cannabinoids and terpenes","Quality"
10171829091,"THC Content","Format (flower, vape, edibles, etc)","Cost/Price"
10168741975,"THC Content","Quality","Cost/Price"
10168553663,"Quality","Cost/Price","THC Content"
10167747571,"THC Content","CBD Content","Cost/Price"
10166774106,"Cost/Price","THC Content","Quality"
10166704081,"Quality","THC Content","CBD Content"
10166676707,"Favorite Strain","THC Content","Quality"
10166521631,"CBD Content","THC Content","Cost/Price"
10166135661,"CBD Content","THC Content","Quality"
10166087981,"Quality","THC Content","CBD Content"
10166086781,"THC Content","Cost/Price","Quality"
10165480771,"Format (flower, vape, edibles, etc)","Quality","THC Content"
10164798083,"Quality","CBD Content","Other cannabinoids and terpenes"
10164188167,"Quality","Favorite Strain","Format (flower, vape, edibles, etc)"
10159689338,"Format (flower, vape, edibles, etc)","THC Content","Quality"
10157400539,"CBD Content","Other cannabinoids and terpenes","THC Content"
10156749143,"Cost/Price","Quality","Format (flower, vape, edibles, etc)"
10156731649,"THC Content","CBD Content","Quality"
10156488891,"Favorite Strain","THC Content","Cost/Price"
10156466084,"THC Content","Other cannabinoids and terpenes","Quality"
10156427369,"Quality","Cost/Price","Other cannabinoids and terpenes"
10153982482,"Cost/Price","Quality","Favorite Strain"
10153928489,"Format (flower, vape, edibles, etc)","Quality","Favorite Strain"
10153580627,"Quality","THC Content","CBD Content"
10152074391,"Favorite Strain","Format (flower, vape, edibles, etc)","THC Content"
10147173145,"THC Content","Favorite Strain","Cost/Price"
10146160169,"Format (flower, vape, edibles, etc)","Cost/Price","Quality"
10145856040,"Quality","Favorite Strain","Format (flower, vape, edibles, etc)"
10145514597,"Quality","Favorite Strain","THC Content"
10144588236,"Quality","Format (flower, vape, edibles, etc)","Cost/Price"
10144534987,"THC Content","Quality","Cost/Price"
10144506582,"THC Content","Cost/Price","Quality"
10143691454,"Quality","THC Content","CBD Content"
10143614917,"THC Content","Quality","Cost/Price"
10142993231,"Format (flower, vape, edibles, etc)","Other cannabinoids and terpenes","Favorite Strain"
10142795363,"Format (flower, vape, edibles, etc)","CBD Content","THC Content"
10142762492,"Quality","Cost/Price","CBD Content"
10142718218,"THC Content","CBD Content","Other cannabinoids and terpenes"
10142699153,"Format (flower, vape, edibles, etc)","THC Content","Favorite Strain"
10142691158,"Favorite Strain","Format (flower, vape, edibles, etc)","Quality"
10142594482,"THC Content","Cost/Price","CBD Content"
10142594072,"THC Content","Cost/Price","Format (flower, vape, edibles, etc)"
10142214540,"Quality","Cost/Price","Favorite Strain"
10141275570,"Favorite Strain","Quality","THC Content"
10138761669,"Cost/Price","CBD Content","Other cannabinoids and terpenes"
10138747058,"Cost/Price","Format (flower, vape, edibles, etc)","THC Content"
10138269829,"CBD Content","Other cannabinoids and terpenes","Quality"
10138213019,"Other cannabinoids and terpenes","THC Content","CBD Content"
