"""On average, how much do you spend (in US dollars) on consumable cannabis products per week?""",,,,,,,
,,,,,,,
id,Response,,Response,Count,,Average =,85.77168142
10675806972,900,,900,1,,,
11135476295,800,,800,2,,,
10893671348,800,,700,2,,,
11238558967,700,,600,1,,,
11135389919,700,,500,4,,,
10580153046,600,,425,1,,,
11208627585,500,,400,2,,,
10848597634,500,,360,1,,,
10831948842,500,,350,2,,,
10575226552,500,,300,12,,,
11166893092,425,,280,1,,,
10877375002,400,,250,10,,,
10844664050,400,,225,1,,,
11150766346,360,,200,31,,,
11135570279,350,,175,3,,,
10577642085,350,,160,2,,,
11239041530,300,,150,28,,,
11170108737,300,,140,1,,,
10893153651,300,,135,1,,,
10870148985,300,,125,6,,,
10865633390,300,,120,8,,,
10847042555,300,,110,1,,,
10668597062,300,,100,58,,,
10662496256,300,,90,1,,,
10576876213,300,,80,9,,,
10569704133,300,,75,24,,,
11213907729,300,,70,5,,,
10671009796,300,,65,2,,,
10676786628,280,,60,31,,,
11181279818,250,,56,1,,,
11076823569,250,,55,2,,,
11065479544,250,,50,88,,,
11006369538,250,,45,7,,,
10847964940,250,,42,1,,,
10846997868,250,,40,26,,,
10834663571,250,,35,13,,,
10658550964,250,,33,1,,,
10579646891,250,,30,19,,,
10570146744,250,,25,30,,,
10975405385,225,,24,2,,,
11249491628,200,,20,32,,,
11226611149,200,,16,1,,,
11135151906,200,,15,8,,,
11135022253,200,,13,1,,,
11134572563,200,,12,2,,,
11131514317,200,,10,27,,,
11003496788,200,,8,2,,,
10880798060,200,,6,2,,,
10843797483,200,,5,9,,,
10841050682,200,,3,1,,,
10836382971,200,,1,3,,,
10832133946,200,,0,36,,,
10660833205,200,,,,,,
10660294275,200,,,,,,
10648772348,200,,,,,,
10618149896,200,,,,,,
10614375447,200,,,,,,
10602936383,200,,,,,,
10585520406,200,,,,,,
10577144137,200,,,,,,
10574898510,200,,,,,,
10974437681,200,,,,,,
10632499407,200,,,,,,
10632389881,200,,,,,,
10593527279,200,,,,,,
10581571841,200,,,,,,
10868495105,200,,,,,,
10581017097,200,,,,,,
10575479401,200,,,,,,
10569513731,200,,,,,,
10686658652,200,,,,,,
10875460020,175,,,,,,
10847038072,175,,,,,,
10659841121,175,,,,,,
10887410730,160,,,,,,
10832270581,160,,,,,,
11248164514,150,,,,,,
11241395977,150,,,,,,
11212784708,150,,,,,,
11166535497,150,,,,,,
11164232720,150,,,,,,
11138400653,150,,,,,,
11136795358,150,,,,,,
11061509902,150,,,,,,
10972364151,150,,,,,,
10894995749,150,,,,,,
10864981709,150,,,,,,
10864944007,150,,,,,,
10847177434,150,,,,,,
10847010995,150,,,,,,
10833417544,150,,,,,,
10832123166,150,,,,,,
10800317244,150,,,,,,
10706606981,150,,,,,,
10675303210,150,,,,,,
10667582585,150,,,,,,
10667398958,150,,,,,,
10624147163,150,,,,,,
10598122285,150,,,,,,
10583372838,150,,,,,,
10582003543,150,,,,,,
10572540138,150,,,,,,
10569280747,150,,,,,,
10974652472,150,,,,,,
11009295893,140,,,,,,
10667369837,135,,,,,,
11239077222,125,,,,,,
11030978965,125,,,,,,
10892827041,125,,,,,,
10859079118,125,,,,,,
10658580372,125,,,,,,
11042816472,125,,,,,,
11238671751,120,,,,,,
10886504576,120,,,,,,
10849354793,120,,,,,,
10844291789,120,,,,,,
10842054674,120,,,,,,
10831898832,120,,,,,,
10671153091,120,,,,,,
10626251939,120,,,,,,
10877478788,110,,,,,,
11250357688,100,,,,,,
11248704898,100,,,,,,
11238685800,100,,,,,,
11231679765,100,,,,,,
11211717848,100,,,,,,
11166390085,100,,,,,,
11156698544,100,,,,,,
11156548224,100,,,,,,
11141027225,100,,,,,,
11138361963,100,,,,,,
11134926998,100,,,,,,
11134549629,100,,,,,,
11134478610,100,,,,,,
11134445906,100,,,,,,
11129003813,100,,,,,,
11105188699,100,,,,,,
11102541656,100,,,,,,
11045739846,100,,,,,,
11044478649,100,,,,,,
11036310394,100,,,,,,
11014798443,100,,,,,,
10985275093,100,,,,,,
10978063065,100,,,,,,
10887363314,100,,,,,,
10885623844,100,,,,,,
10876510380,100,,,,,,
10875530570,100,,,,,,
10872582813,100,,,,,,
10864900624,100,,,,,,
10859949104,100,,,,,,
10852545455,100,,,,,,
10850929741,100,,,,,,
10849214021,100,,,,,,
10847317503,100,,,,,,
10843917537,100,,,,,,
10843795703,100,,,,,,
10843000999,100,,,,,,
10839396047,100,,,,,,
10835639035,100,,,,,,
10835578531,100,,,,,,
10833972658,100,,,,,,
10832963325,100,,,,,,
10832483530,100,,,,,,
10832200410,100,,,,,,
10830882008,100,,,,,,
10822727213,100,,,,,,
10749222846,100,,,,,,
10686863888,100,,,,,,
10677560387,100,,,,,,
10671862630,100,,,,,,
10669140575,100,,,,,,
10658649988,100,,,,,,
10581933788,100,,,,,,
10580341387,100,,,,,,
10578271769,100,,,,,,
10625261595,100,,,,,,
10579439505,100,,,,,,
10659241585,100,,,,,,
11100035804,90,,,,,,
11134504342,80,,,,,,
10994464098,80,,,,,,
10856302482,80,,,,,,
10843815732,80,,,,,,
10841078256,80,,,,,,
10831929904,80,,,,,,
