"response","count","percent_responded"
"Moose & Lobsta",1,0.25
"Mountain Berry ",1,0.25
"Mr Clean",1,0.25
"N/A",1,0.25
"Night Nurse",1,0.25
"Nine pound hammer",1,0.25
"No favorite ",1,0.25
"Northern Lights",1,0.25
"Not sure of strain",1,0.25
"Not sure what’s in my tincture ",1,0.25
"O.G.Kush",1,0.25
"Oil",1,0.25
"Panama Red",1,0.25
"pennywise",1,0.25
"Pennywise",1,0.25
"Pineapple Express ",1,0.25
"Pure CBD Oil with Hemp Seed Oil",1,0.25
"purple chem",1,0.25
"Purple Chem",1,0.25
"Purple eater",1,0.25
"Purple Eclipse ",1,0.25
"Purple Haze",1,0.25
"Purple haze ",1,0.25
"Purple kush",1,0.25
"Purple train wreck",1,0.25
"Purple Trainwreck",1,0.25
"Querkle",1,0.25
"rasberry kush",1,0.25
"Ringo's Gift",1,0.25
"Road kill skunk ",1,0.25
"Sage 21",1,0.25
"SATIVA",1,0.25
"Sativa ",1,0.25
"Scooby snacks",1,0.25
"See above",1,0.25
"sin mint",1,0.25
"Sirius Black",1,0.25
"Skunk",1,0.25
"Skywalker",1,0.25
"Skywalker OG",1,0.25
"Skywalker og ",1,0.25
"Smoking flower Indica",1,0.25
"Sour  Diesel",1,0.25
"sour diesel",1,0.25
"Sour Diesel",1,0.25
"Sour Diesel ",1,0.25
"Sour disel",1,0.25
"Sour purple desle",1,0.25
"Sour tsu x cat kush",1,0.25
"Star killer",1,0.25
"Starkiller",1,0.25
"Strawberry banana",1,0.25
"Strawberry Cough",1,0.25
"Strawberry Diseal ",1,0.25
"Strawberry haze",1,0.25
"Strawberry Kush",1,0.25
"Sugar Black Rose",1,0.25
"sunshine daydream",1,0.25
"Swamp Thing",1,0.25
"Sweat Tooth",1,0.25
"Sweet Tooth",1,0.25
"sweet tooth ",1,0.25
"Sweet tooth ",1,0.25
"SweetTooth",1,0.25
"Tangerine Kush",1,0.25
"Tangie ",1,0.25
"tangie 2.1 CBD ",1,0.25
"Tangie 2:1",1,0.25
"THC",1,0.25
"THC oil ( received in capsules)",1,0.25
"The hog",1,0.25
"They are all nasty",1,0.25
"Tikum Olam",1,0.25
"train wreck",1,0.25
"Train wreck /// pain relief",1,0.25
"Trainwreck",1,0.25
"Tres sister",1,0.25
"Trinity",1,0.25
"Tsunami trainwreck ",1,0.25
"unknown",1,0.25
"unsure",1,0.25
"using tinctures",1,0.25
"Wedding Cake ",1,0.25
"White lotus x jack",1,0.25
"White rhino",1,0.25
"White widow",1,0.25
"WhiteRhino x Bubba",1,0.25
"XJ 13",1,0.25
"XJ13",1,0.25
