Q#77,What war(s) did you serve in? (Please select all that apply),
,,
chosen,count,percent_responded
War in Iraq: Operation Iraqi Freedom,175,31.14%
None,136,24.20%
Vietnam War,118,21.00%
Persian Gulf War,100,17.79%
Other (please specify),79,14.06%
War in Afghanistan: Operation New Dawn,75,13.35%
War in Iraq: Operation New Dawn,46,8.19%
Korean War,2,0.36%
World War II,1,0.18%
