"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","Tinctures","Salves/topicals","Transdermal patches","Suppositories","Capsules","Other (please specify)"
10165480771,"","","","","","","","","","",""
10165361462,"","","","","","","","","","",""
10164915493,"","","","26 - 50 mg","","","","","","6-25 mg",""
10163162820,"","","","51 - 100 mg","","","","","","",""
10155895979,"","","","26 - 50 mg","","","","","","",""
10153507665,"","","","5 mg or less","","","","","","",""
10142608136,"","","","","","","","","","",""
10131850082,"","","","","","","","","","26 - 50 mg",""
10131678338,"","","","","","","","","","",""
10131229054,"","","","","","","","","","",""
10128005337,"","","","6-25 mg","","","","","","",""
10127793457,"","","","","","","","","","",""
10127657862,"","","","5 mg or less","","","","","","",""
10127654232,"","","","","","","","","","",""
10127406972,"","","","","","","","","","",""
10127251265,"","","","6-25 mg","","","","","","5 mg or less",""
10125280005,"","","","6-25 mg","","","","","5 mg or less","",""
10116480749,"","","","","","","","","","",""
10499323228,"","","","6-25 mg","","","","","","",""
10368261978,"","","","","","","","","","",""
10353027281,"","","","","","","","","","",""
10233153110,"","","","","","","","","","",""
10230603790,"","","","51 - 100 mg","","","","","","",""
10229883527,"","","","","","","","","","",""
10229621245,"","","","","","","","","","51 - 100 mg",""
10229608780,"","","","","","","","","","",""
10229505690,"","","","101 - 200 mg","","","","","","",""
10229370437,"","","","","","","","","","",""
10223801994,"","","","101 - 200 mg","","","","","","",""
10190392230,"","","","6-25 mg","","","","","","",""
10157075071,"","","","5 mg or less","","","","","","",""
10143077190,"","","","","","","","","","",""
10137922390,"","","","6-25 mg","","","","","","",""
10134444954,"","","","5 mg or less","","","","","","",""
10133256299,"","","","501 - 1000 mg","","","","","","",""
10131883157,"","","","","","","","","","",""
10130787672,"","","","26 - 50 mg","","","","","","",""
10127918275,"","","","51 - 100 mg","","","","","","",""
10127640409,"","","","","","","","","","",""
10127434115,"","","","51 - 100 mg","","","","","","",""
10127189561,"","","","","","","","","","",""
10127164315,"","","","","","","","","","",""
10463520639,"","","","5 mg or less","","","","","","",""
10314764856,"","","","6-25 mg","","","","","","",""
10308744405,"","","","","","","","","","",""
10259196295,"","","","","","","","","","",""
