Q#49,Please rate the importance of the following aspects of cannabis products to you:,,,,,,,
,,,,,,,,
,THC content - Importance,CBD content - Importance,Other cannabinoids and terpenes - Importance,Cost/price - Importance,Quality - Importance,"Product type (flower, vape cartridge, edibles, etc.) - Importance",Favorite strain - Importance,Other - Importance
Least Important,25,40,69,26,0,16,41,27
Moderately Important,83,82,83,71,25,59,93,10
Most important,92,69,23,91,160,105,45,2
